Path,Cycles(s),BR_INST_RETIRED,BR_MISS_PRED_RETIRED,CPU_CLK_UNHALTED,INST_RETIRED,LLC_MISSES:0x41,LLC_REFS:0x4f,arith:fpu_div_active,l1d:0x1,l2_rqsts:0x1,l2_rqsts:0x3,l2_rqsts:0x8,l2_rqsts:0x20,mem_trans_retired:0x2,mem_uops_retired:all_stores,misalign_mem_ref:0x1,misalign_mem_ref:0x2,resource_stalls:any,uops_dispatched:core
15,100,8065784,42877,116880835,204991931,244928,1782505,1151799,6987288,2483717,3125026,969207,25910,35380587,36099519,0,0,37403156,296710878
15,200,9131436,3597,123767499,219146984,116251,1678486,1107462,6272994,2151004,2757591,882945,23066,36195476,41272899,0,0,40319975,336186098
15,300,7888584,2549,105303273,201825111,106387,1638529,1211131,7541777,2725767,3362823,1046015,21856,38868561,41897770,0,0,32737696,290277470
15,400,9242961,2578,126096308,236388971,105470,1870042,1241724,7166493,2352338,2897013,898586,18406,32826667,35396534,0,0,40404105,339669872
15,500,8148686,2246,105773698,197771111,210373,1545672,1119033,6861089,2604393,3420495,1059704,24678,39517921,41582533,0,0,38952934,317315182
15,600,8460284,2841,126742326,235550795,211960,1795991,1298843,7660672,2738364,3298547,984061,17544,33605773,34553820,0,0,34458194,298370800
15,700,9180512,2383,118551732,214644477,105354,1542414,1071190,6432657,2287881,3028782,901648,22462,39698756,41355008,9,0,39491898,331374504
15,800,6562255,3757,113441473,184050077,109302,1590724,1032818,6394418,2278585,2992058,917838,32481,31037386,31316795,0,0,30412568,274099658
15,900,8828240,3212,126493577,236375117,110591,1801152,1175296,6741185,2269853,2852782,904650,23634,32569842,35738272,0,0,39485840,329773838
15,1000,6154615,4114,105032361,165705237,114821,1473342,923237,5958160,2081435,2762366,639340,38069,32797934,34523206,0,0,29712860,299014509
15,1100,8872548,4550,126538693,233030916,130581,1903647,1295374,7539302,2509764,3095805,921744,32926,32980255,34227447,0,0,36354719,317163621
15,1200,8740537,2734,111881395,208249668,176468,1630966,1080264,6551543,2423891,3224623,1015014,38503,39447201,40730502,0,0,38599251,333485964
15,1300,7674502,3986,120744084,229556751,209518,1853662,1310330,7733707,2755135,3443359,1038973,33413,36369033,35555344,0,0,32286527,278050849
15,1400,9106683,3300,126783839,228849491,138600,1651472,1137361,6568883,2296141,2907402,826839,27702,36619317,39495320,0,9,38209727,330980412
15,1500,7638644,2213,105770740,201022146,106241,1750484,1230340,7629904,2743781,3502517,1042613,39476,39387519,40178344,0,0,31832395,275067751
15,1600,9159070,3069,126724909,239361730,107854,1910156,1273155,7360823,2475115,3022187,897181,21997,32852032,33899454,0,0,38126251,330650539
15,1700,8117336,2618,105644542,199576300,105201,1425209,1138132,6903947,2615502,3439295,1051714,27040,39776760,40871495,0,0,38264339,316936642
15,1800,8426010,2721,126943020,239012858,107232,1813264,1324286,7791484,2770899,3367046,1120034,23819,33422199,33992584,0,0,31918621,293243240
15,1900,8953085,3270,119193437,214302218,212650,1518808,1008813,6068734,2121460,2831210,830013,29843,38663014,40430794,0,0,38583697,332011643
15,2000,7711107,2300,113164311,219714507,107314,1774910,1320105,7813584,2784613,3504394,1177681,26663,38142438,37283685,0,0,30922207,281722897
15,2100,9009421,2715,126894128,237600116,108113,1821506,1196348,6869146,2293388,2902895,891298,25390,34099729,37273102,0,0,37383453,333503373
15,2200,7523650,2192,105795342,199647198,211184,1687515,1207435,7416728,2778203,3498009,1067360,25044,39651282,40710576,0,0,34241146,289384506
15,2300,9089608,2674,126955284,237366423,107046,1810396,1310073,7608613,2578342,3089938,777164,19338,33716752,33995064,0,0,36662252,317690158
15,2400,8519467,2426,109355291,205670279,209317,1588801,1103998,6713336,2572451,3308798,1043211,25985,39126746,40703965,0,0,38471554,329344316
15,2500,8091384,2520,123415506,232023563,104572,1820909,1322862,7817679,2784035,3498354,1122324,23943,34848986,34058170,0,0,32226639,277756159
15,2600,9162600,2668,124100989,228260803,105672,1660440,1125878,6508892,2311851,2884385,931555,22630,37483653,40573049,0,0,38308124,334305596
15,2700,7728229,2348,108610116,215895259,105574,1734296,1303835,7821934,2783257,3494385,1054255,26486,39395523,38608643,0,0,32126008,276887999
15,2800,9072268,2686,126938197,236544268,109279,1771296,1224438,7095877,2344750,2835710,896504,22108,32968555,35682181,0,0,37327431,332309913
15,2900,7737820,2069,105726627,200089579,194369,1658883,1185108,7223043,2746391,3498746,1051704,26235,39791990,40711990,0,0,35691636,300570283
15,3000,8822441,2736,126800149,236960112,212357,1817145,1308101,7821517,2680843,3219113,831975,21219,33675312,33857840,0,0,35213999,307770834
15,3100,8803527,2402,113782581,212515825,106709,1625838,1093083,6496635,2406083,3230683,1002724,26221,39742917,40589361,0,0,38727954,332977445
15,3200,7670727,2307,118987224,225311536,210533,1813609,1327088,7820485,2792808,3499702,1050570,25032,36238762,35412545,0,99,32149068,277395745
15,3300,9031919,2505,126942115,232553781,107080,1657310,1165692,6594254,2311790,2906848,1024982,23589,36521044,38962783,0,0,37378623,333215876
15,3400,7525343,2244,105779606,208022214,6451,1680179,1260190,7689177,2767040,3470949,1049041,25877,38966256,40003723,0,0,32424246,276146765
15,3500,9239168,2604,126965031,240616822,191794,1914276,1300137,7334580,2429589,2925620,897056,22433,32957638,34246470,0,0,38308911,333624203
15,3600,8033282,2361,105814076,195678589,108026,1527017,1113304,6978610,2651768,3475869,1046699,26180,39556001,40457565,0,0,36314861,312200615
15,3700,8539926,2591,126977404,239643998,119789,1916631,1311317,7808152,2739960,3338221,972266,20329,33637136,33851921,0,0,33224612,296338262
15,3800,9019965,2770,118333163,217523446,210647,1559955,1097734,6538293,2328929,3070877,940900,23811,39687674,40510724,0,0,38330090,331941108
15,3900,7598313,2333,114332011,219578116,107756,1860252,1311362,7811051,2782016,3529646,1041183,24875,37688801,36804989,0,0,32747783,274488778
15,4000,9016077,2635,126970897,240108451,109045,1715622,1214140,6782251,2347954,2879529,899819,24543,34173767,37369280,0,0,38870417,331781017
15,4100,7370242,2541,105731694,200205907,156437,1631310,1229334,7506433,2785802,3501880,1045080,24223,39735820,40553898,0,0,33488072,281590654
15,4200,9033357,2739,126861478,240691929,108502,1812565,1313505,7540264,2543331,3015155,898045,21341,32992626,33748339,0,0,37205949,323844800
15,4300,8434316,2473,107366931,201958959,105475,1630775,1092701,6794870,2507529,3361565,1045339,27670,39561912,40436789,0,505,38303118,323883887
15,4400,8357594,2585,125311023,234535940,211101,1815229,1293647,7702234,2775235,3486533,1108449,23315,34657562,33911216,0,0,30807402,290050263
15,4500,9075568,3072,124693621,225743918,105759,1626907,1112152,6515117,2297009,2849114,931238,25880,38090037,40604427,0,424,37851248,329557579
15,4600,7574825,2351,107871301,211419223,154560,1818218,1313800,7823317,2755079,3493061,1045534,28029,39967242,39232239,0,550,32011628,276929874
15,4700,9090975,2855,126997569,237684406,209267,1816636,1271378,7299858,2483290,2964977,769952,23905,32967490,34861969,0,0,38410945,333272540
15,4800,8197255,2184,105768721,199413153,106862,1534097,1146889,7032610,2651926,3467428,1052472,27657,39372188,40509769,0,0,37667636,314859361
15,4900,8441751,2468,126980409,241288286,153045,1819954,1328005,7816990,2747438,3400273,982039,25597,33526858,33672513,0,0,33111579,294792393
15,5000,9069729,2558,121897154,221982575,109406,1592448,1094733,6491383,2285404,2971139,993357,26812,38866436,40312592,0,0,37174781,331899820
15,5100,7680381,2423,110947656,214963746,110083,1778712,1292155,7792711,2789070,3438924,1040593,29600,38153394,38166404,0,0,30992125,280285018
15,5200,9047051,2697,126995793,240518671,212719,1880328,1248612,7132755,2352891,2901709,898687,23132,33484001,35944898,0,0,38493640,332980734
15,5300,7962442,2130,105831949,196749804,170808,1569994,1157716,7204154,2736695,3442522,1050099,23392,39840667,40753436,0,0,36567131,304457311
15,5400,8649925,2522,126979065,240487114,142040,1914614,1325079,7812305,2709526,3300729,959626,21377,33542583,33799343,0,0,34194328,303613969
15,5500,8980334,2549,118467667,215500213,211484,1554858,1095426,6496634,2396012,3166865,845432,26088,39710326,40490739,0,0,38592342,331953907
15,5600,7506130,2526,114187706,217095826,108399,1788552,1314068,7791031,2770574,3474425,1119506,28165,37983964,37111854,0,0,30959298,277113812
15,5700,8961742,2571,126951484,240421006,108456,1807537,1226323,6953227,2298707,2910377,901249,21193,34073191,36919397,0,0,38692351,332010513
15,5800,7838604,2206,105847551,198705439,107509,1546471,1116796,6921399,2595036,3295606,1093397,26478,37313900,38189528,0,0,34796963,295406829
15,5900,6949013,5318,125861744,192130656,9976,1626337,1024907,6397113,2016383,2560399,756209,28688,26110414,26499474,0,0,34204144,297624271
15,6000,8993915,2760,114749342,212224597,110337,1631173,1100560,6486390,2382340,3186827,1008351,28846,39116548,40307983,0,0,38686339,331304463
15,6100,7701334,3089,117541312,223630154,216626,1926185,1323992,7762334,2748726,3461487,1055951,28206,36632940,35800779,0,0,31137218,277471621
15,6200,8770530,3350,126968206,233620705,225056,1705701,1159721,6575068,2253996,2852730,891555,23956,35260555,37640655,0,0,39486864,326897282
15,6300,7348103,3296,105789577,198778605,171702,1749735,1231683,7481259,2710464,3431244,1043926,27707,38665954,39682140,0,0,33520049,275242045
15,6400,8899351,3836,126850134,236114703,120258,1904381,1287647,7341479,2436335,2936357,883338,21220,32552429,33296309,0,0,38804145,323030182
15,6500,8285143,3625,107775432,197364316,117126,1532833,1083612,6711849,2510404,3291477,1048903,25692,39033025,39743274,0,0,38684291,318259634
15,6600,8010727,3296,124820994,229713849,120582,1823342,1293137,7684556,2717849,3434712,974493,24725,34859555,33324374,0,0,32349844,277059482
15,6700,8944499,3489,125735505,223264873,194999,1635521,1123305,6385693,2256345,2845010,1061284,24662,37205390,39699823,0,504,39244742,326511188
15,6800,7401593,2688,107041846,205844495,223371,1722058,1268419,7673117,2722056,3433660,1068352,26331,38914099,38808843,0,0,33135395,271472933
15,6900,8805702,4151,126763400,234553422,122579,1814529,1229740,7161849,2373336,2848657,753711,23605,30982646,32046465,0,0,40254020,324681863
15,7000,7879633,3818,109220159,190934410,117059,1464836,1014361,6437745,2343262,3114714,931985,32400,34382795,36332264,0,378,38704664,320084335
15,7100,7905350,3863,122904027,229087033,206297,1861900,1310949,7679095,2718041,3434768,1030972,25193,34535280,33673019,0,0,31571085,278230976
15,7200,8864730,4102,126845978,229798769,117220,1740505,1125755,6465359,2264093,2857879,917929,25049,36005179,38402257,0,0,39191758,326073145
15,7300,7388945,2935,105721045,198837144,116652,1675864,1219203,7566101,2718634,3436760,1035467,26052,38965403,39368775,0,0,31573451,271849035
15,7400,8898480,3984,126897130,232909545,119610,1809607,1261189,7257500,2410077,2903214,942650,22062,32369211,33394590,0,0,37613574,326444984
15,7500,8179588,3151,105782999,195745062,223127,1528153,1111096,6739894,2523815,3338753,1038186,27587,38940943,39747164,0,0,39312489,313680152
15,7600,8099654,3687,126783326,233834318,119605,1910465,1300228,7650391,2666373,3347289,980353,24847,33848206,33208476,0,0,33359806,283614255
15,7700,8911940,4191,122675273,220986915,117565,1590607,1082826,6381926,2252007,2892528,942291,26647,37160451,39283934,0,0,38866117,326152369
15,7800,7392082,2764,109998758,205791994,120171,1735221,1261964,7637562,2719025,3439391,1038065,27380,38677323,37651094,0,0,31734263,271538373
15,7900,9017091,3273,126975703,233884954,145522,1790014,1228467,7011878,2301835,2841364,891729,19880,33367973,34930041,0,558,39075807,325565500
15,8000,7786863,2980,105709412,196317632,222995,1575431,1139290,7018513,2633329,3400685,1040842,29994,38907010,39627294,0,0,37101612,300508262
15,8100,8461773,3948,126467931,235665786,193563,1908322,1307875,7704542,2689587,3258429,901183,24339,32564644,33335973,0,0,35214502,299182054
15,8200,8944311,3120,117167005,214774928,202317,1637603,1098810,6427007,2337381,3074267,901569,26647,38892654,39905033,0,0,39377280,327692043
15,8300,7404903,2836,115584904,218731752,117324,1894848,1301171,7721640,2690156,3452601,1041901,24672,37144106,36287052,0,0,32945765,272651319
15,8400,8875088,3286,126965890,237157796,118230,1729845,1198856,6785811,2319237,2865687,887132,22728,33456968,28168529,0,0,39214288,327633312
15,8500,7395974,2985,105790396,197098967,116518,1710842,1178948,7301884,2718797,3455328,1044649,23583,38857507,29945939,0,0,35212517,287913871
15,8600,8830304,3408,126911176,237208111,118970,1838641,1291606,7652459,2593510,3078608,925896,22792,32234184,24874191,0,0,36818371,311824757
15,8700,8590965,3845,112712934,207278574,12071,1463921,1083165,6449098,2368035,3125078,1011331,28451,39016592,29841785,0,0,37670637,327563929
15,8800,7706089,3066,119793680,221930436,117673,1813966,1296905,7726039,2732498,3441467,1120818,25450,35954215,25090077,0,0,32246719,270819564
15,8900,8899737,3439,126785905,230518114,117667,1679416,1157123,6609920,2275700,2872407,957978,24677,35391834,29511299,0,0,38486326,325834628
15,9000,7551779,2597,105840245,199872795,117655,1664140,1214769,7494968,2734006,3444072,1128888,26382,39156660,30073693,0,0,33793202,277362244
15,9100,8847527,3444,126772291,233451178,221757,1809285,1306261,7410022,2484447,2989426,888554,22454,32316431,24685642,0,0,38217703,321414023
15,9200,8408587,2822,108826330,203212751,220644,1565879,1101126,6690259,2485618,3274292,1040730,25640,39164449,30032182,0,0,39047865,323657278
15,9300,7873429,2881,123975054,231342779,220610,1819511,1309573,7746637,2749974,3465965,1039398,25352,34456377,25162729,0,0,31178814,283026810
15,9400,8980446,2845,125399773,228344886,220882,1628814,1128945,6485412,2288151,2879167,973239,22432,37133957,30080402,0,0,39236093,329157301
15,9500,7443700,2755,107200508,204233238,208895,1710843,1271070,7694373,2744962,3464601,1172914,25819,39251489,28967906,8,0,32943369,272176136
15,9600,9042890,2872,126953290,234711968,222100,1813661,1267415,7194227,2374463,2870908,870225,17888,33250222,26074149,0,0,39027274,328256450
15,9700,7974304,2597,105784429,195011980,169965,1543914,1127111,6942114,2605924,3421511,1100538,26391,39348969,30287351,0,0,38141863,305781788
15,9800,8305614,3421,126807448,232940570,219923,1824954,1304561,7717210,2729009,3314212,1105807,23368,32741870,25241814,0,0,34066415,293059300
15,9900,9021063,2917,119616151,215148582,176345,1570231,1096579,6449462,2331685,3052804,878353,26031,38857143,30324314,0,0,38870843,328047284
15,10000,7460196,2368,113266537,212285426,118308,1773689,1294431,7744253,2750247,3457394,1135461,25793,38031670,27345378,0,0,32629051,269881868
15,10100,8887821,3083,126900171,234103415,172657,1743931,1211935,6879182,2273612,2872041,1019639,23048,33558182,27785955,0,0,39176297,326692834
15,10200,7564409,2620,105785571,198252103,15986,1486443,1197658,7213474,2711571,3445560,1136647,28285,39038441,30093911,0,0,35551838,289592297
15,10300,8823466,3128,126846798,234736223,153491,1822059,1329264,7748585,2624160,3168799,1065322,20273,32799983,25441988,0,0,36101978,305654539
15,10400,8737065,2642,114016835,206872970,116661,1531093,1082268,6438041,2367247,3135400,1086522,27381,39267357,30357887,0,0,38340176,326717391
15,10500,7746194,2764,118538326,223263137,116914,1819249,1313581,7743254,2752181,3463782,1180307,27826,36144034,25527968,0,0,32786531,272874188
15,10600,8962236,3070,127005507,232799248,221130,1699491,1175889,6637187,2263514,2861642,967498,24686,35298091,29739443,0,0,38651275,330072852
15,10700,7432762,2395,105829741,196413954,142287,1653443,1211782,7499309,2746851,3463390,1085026,27485,39503412,30582897,0,0,33331344,276521914
15,10800,8865921,3335,126877561,233728706,120391,1816682,1303055,7476638,2520697,3032728,987069,20700,32723535,25450358,0,0,36402522,322504874
15,10900,8148271,3097,108190700,195760794,9513,1466937,980072,6191097,2317666,3181609,999668,29550,37569276,28601621,0,0,39381591,314420471
15,11000,8063987,3601,124003630,231905551,220272,1916856,1317891,7729637,2732227,3452575,1006056,27449,34346709,25203267,0,0,31366747,282918447
15,11100,8837992,3173,125317334,228187018,219428,1690918,1126475,6441901,2271820,2871563,922584,27512,36890271,30201519,0,0,39036601,328119155
15,11200,7474529,2489,107289227,206980362,217096,1807231,1278085,7673187,2740691,3450641,1046816,30364,39087529,29314097,0,0,32901773,273404931
15,11300,8883280,3200,126994205,238318631,201036,1891198,1263887,7193798,2361589,2865168,892358,22662,33320788,26477298,0,0,38760260,329535438
15,11400,7857490,2732,105705834,197625222,218901,1594534,1125602,6931681,2622121,3436816,1048511,28655,39279047,30533018,0,0,38026066,307930456
15,11500,8276138,2966,126889342,236228204,220064,1843386,1319892,7752926,2753025,3318131,978133,25627,32766400,25492553,0,0,33758685,294054405
15,11600,8837147,3002,119739373,219448529,218581,1563385,1096137,6445995,2326076,3039037,829238,28155,38609830,30515674,0,0,38914737,329522635
15,11700,7402130,2426,113075994,213194109,219719,1767810,1299111,7730199,2749755,3445446,1042360,28434,37971490,27755255,0,0,32629343,274086005
15,11800,8909425,3218,126947815,236857292,220697,1748348,1213372,6918943,2280585,2880449,889749,24057,33688797,28162574,0,0,38970808,328761381
15,11900,7514905,2669,105744090,197319842,113409,1489518,1195151,7199949,2720434,3457090,1118745,27264,39337200,30715691,0,0,35817754,291341158
15,12000,8261796,4272,126485450,231261085,220924,1909293,1274070,7591795,2550052,3117440,913283,25839,31135211,23652900,0,0,33735248,306944610
15,12100,8473668,4011,113491307,200168891,115296,1512913,1047292,6235973,2279472,2990091,955842,30752,37831143,29801852,0,0,37983151,322888025
15,12200,7300244,3912,117792786,210922057,117171,1785372,1256303,7468332,2568394,3274270,1146779,29834,34943528,25043101,0,0,31879739,267663949
15,12300,8784386,3641,126750236,230624320,117754,1783164,1152391,6607288,2270268,2926388,760154,21222,34779513,29535624,0,0,39401114,327002399
15,12400,7406466,2786,105809860,198841507,115017,1711045,1193561,7460815,2750666,3448602,1051870,23994,38788867,30437704,0,0,33716585,278179497
15,12500,8903036,3466,126907074,234578491,118999,1808605,1281816,7371998,2505480,3001135,897735,20561,32580729,25659371,0,0,37237782,321173605
15,12600,8296468,3281,108673789,197153709,162253,1537010,1089957,6641699,2525821,3324953,1054944,26567,39236566,30983913,0,0,39401370,318736780
15,12700,7758924,3133,124072016,229369797,223428,1825513,1320558,7692021,2710767,3418070,1007526,24178,34041565,25429095,0,0,32856064,278025323
15,12800,8858657,3137,125273308,224833234,115916,1638289,1129953,6409437,2262184,2849940,920939,25411,36782755,30735537,0,0,39297787,327936630
15,12900,7410431,2457,107474339,204879631,196168,1801258,1257226,7647564,2725785,3443329,1046473,28507,38762349,29512145,0,0,32998611,272700256
15,13000,8970303,3227,126881270,235838519,118352,1855103,1228977,7073979,2359750,2834625,892723,23328,32055653,26534041,0,0,39336525,327623693
15,13100,7314119,4272,105214723,168606845,211235,1487966,938921,6150425,2323878,3189949,1121142,27458,37054355,29111989,0,0,36082211,306917879
15,13200,7763419,3263,126741063,224102293,115278,1777337,1199155,7250949,2543220,3112873,721510,21933,30609406,24247085,0,0,30343410,284959228
15,13300,8716737,3475,120101598,217343010,219702,1587803,1086758,6431888,2272984,2945603,949824,27310,38274861,30937405,0,0,39263133,327518650
15,13400,7379565,2957,112211069,211441005,116776,1856626,1290975,7691337,2708717,3435531,1040388,28543,37946804,28315438,0,324,32950011,271833924
15,13500,8978572,3412,126888323,233561308,117114,1763459,1187947,6883795,2264288,2806886,901467,20926,32883391,28417931,0,0,39047212,327538517
15,13600,7613722,2678,105802338,193937689,114971,1575294,1140420,7106236,2692367,3450197,1052046,28835,39061078,30792447,0,0,34636993,294946664
15,13700,8637409,3227,126954378,234755385,158439,1818073,1304838,7674128,2596678,3140237,931760,21862,33152733,26005056,0,0,35808567,302501827
15,13800,8653435,3236,114619849,211036056,218456,1557076,1093697,6438409,2338111,3086648,992763,28579,39018866,31018238,0,0,39070035,327834517
15,13900,7469542,2862,118067852,221286081,206442,1880716,1310868,7704338,2721802,3414034,1037739,25641,36064839,26478672,0,0,32987014,272870788
15,14000,8925365,3223,126938864,234536236,138713,1780677,1167802,6657010,2293201,2928029,767287,21614,34710099,30016703,0,0,39254237,327600098
15,14100,7413683,2804,105790733,194461447,115910,1635362,1176881,7367981,2715882,3369199,1047006,29839,38711513,30762096,0,0,32634031,280763802
15,14200,8862339,3205,126949472,233796456,117309,1814744,1276592,7422459,2477127,3012308,889619,24903,32410267,26029438,0,0,36838214,318110965
15,14300,8369293,3277,109506994,199444881,124340,1535252,1089777,6631672,2523169,3325569,1030603,26617,39096036,31357648,0,0,39069835,319992284
15,14400,7870362,3295,123112767,227158641,222830,1814951,1313039,7710264,2700734,3412706,1115795,26055,34783404,26187117,0,0,32653504,277305633
15,14500,8907897,3173,126475004,227124100,118160,1536390,1145902,6431098,2273209,2863043,905277,24993,36764537,31401005,0,0,39006467,328690550
15,14600,7439456,2583,106250771,205000211,218047,1711774,1270414,7721895,2750023,3465326,1044403,29758,38836227,30222768,0,0,32770863,273449628
15,14700,8908717,3110,126854104,237239701,222051,1821954,1264956,7191226,2405044,2886945,897616,21709,32665335,26767669,0,0,39257371,328020617
15,14800,8030771,2579,105722472,201227765,115903,1526254,1126689,6886304,2590081,3408722,1051311,27324,39233909,31486477,0,0,38455245,309913378
15,14900,8239199,3214,126792682,236947932,174943,1919287,1306663,7715189,2683298,3307200,964741,25254,32898474,26212334,0,0,33694914,289216804
15,15000,8844078,3191,120718081,217832607,115983,1674621,1093187,6458022,2237320,2956850,947397,26865,38290414,31318803,0,0,39214464,327411105
15,15100,7627187,2754,111843671,213386645,116509,1850552,1305118,7728301,2749948,3464808,1058751,24125,37410085,28608333,0,0,31447536,276966747
15,15200,8864286,3249,126719506,236440341,116588,1756135,1195391,6920255,2289491,2810697,894184,23306,32937171,28453890,0,0,39192183,327100325
15,15300,7652960,2687,105714093,193017578,114016,1571635,1145059,7140472,2704441,3442725,1045251,29367,39140127,31494346,0,0,35369329,293388909
15,15400,8630604,3506,127006961,234629741,171313,1824472,1299294,7668602,2603751,3151964,965001,22132,32525092,26387053,0,0,34000795,306177709
15,15500,8826586,3367,115532624,208168645,209939,1530246,1087365,6448854,2345421,3099532,993009,25794,39161917,31503305,0,0,39250980,326531952
15,15600,7358526,2840,117129494,221447381,224424,1846496,1313275,7719634,2726693,3429850,1037249,26825,36666993,27098311,0,108,33015104,273005789
15,15700,8834569,3520,126786638,234328260,182590,1800709,1142439,6599239,2249255,2848261,903652,21956,34968035,30555097,0,0,39333754,327399673
15,15800,7375708,2556,105733666,196976091,114994,1737683,1188356,7416457,2734248,3447925,1052752,25736,38363944,31286126,0,0,34520455,279521919
15,15900,8545605,4150,126541891,232701642,118937,1810001,1294403,7395776,2472628,2999232,897724,21093,32726057,25242891,0,0,37604286,316339399
15,16000,7271102,4280,109256671,174570800,113998,1406835,893527,5648210,2046418,2786357,723311,32233,32146022,26531980,0,549,39822921,313689620
15,16100,7786623,3254,122441242,226776812,118125,1876123,1285134,7689456,2727826,3414291,1023299,25781,34527060,26448232,0,0,32209943,273220238
15,16200,8933249,3029,127045873,225845778,75046,1609819,1108260,6441670,2284075,2870522,970547,24737,36461772,31855873,0,0,38598056,326253462
15,16300,7459974,2570,105829768,202271054,53200,1641547,1262539,7668501,2723376,3444675,1106454,24606,39000119,30743806,0,0,32781511,269207445
15,16400,8942825,3389,127005684,233434284,224204,1811736,1265544,7207929,2376660,2887055,977907,22717,32668122,27102510,0,0,39179422,328016888
15,16500,8196095,2745,105749111,198506038,118160,1538644,1121253,6829978,2563127,3391983,1055896,25569,39158749,31921035,0,0,38802457,312003089
15,16600,8077204,3344,126849653,236693772,218216,1833037,1313275,7725649,2726202,3340789,979517,24670,32979392,26505828,0,0,33190338,287388695
15,16700,8911400,3321,121675324,220580169,222631,1686143,1097586,6446615,2274046,2926928,952142,24454,38255802,31917270,0,0,39066468,327524473
15,16800,7567859,2876,110771785,211777163,115783,1859243,1295800,7687041,2672149,3427360,1051263,26316,38145715,29035063,0,0,31538821,275945122
15,16900,8926996,3092,126910627,236683128,119046,1860966,1199303,6929028,2285295,2868828,900634,20868,32316745,28909326,0,0,39331570,327402607
15,17000,7641495,2696,105811714,194337470,116798,1577139,1135334,7089450,2687356,3392509,1042861,26658,39180234,31914281,0,558,35784513,297485887
15,17100,8605627,3483,126891020,234389652,152043,1826509,1308165,7725605,2637630,3190132,997690,24940,32410220,26574655,0,0,33665944,302587376
15,17200,8867514,3042,116390190,208141117,213788,1540001,1082426,6450286,2324803,3075351,1050990,26366,39131539,32050689,0,0,38847475,328781691
15,17300,7376152,3078,116205038,218361069,220819,1820256,1305740,7712547,2734272,3446356,1046806,26082,36461350,27383632,0,0,32922777,273074640
15,17400,8885858,3119,127013052,236979982,222280,1706533,1171716,6712239,2274880,2863116,893980,22240,35221771,30763976,0,0,39078940,328783285
15,17500,7276228,2588,105807511,197634025,215923,1664993,1207359,7375291,2734265,3451206,1042870,25857,39224442,32082166,0,0,34859576,282871923
15,17600,8874565,3438,126819029,236942200,117681,1916180,1311169,7500401,2511106,3088360,773407,24805,32330613,26521072,0,0,37363542,314570776
15,17700,8465461,3146,111032573,203533761,113505,1600330,1068900,6503674,2420467,3195010,1029816,28166,39084969,32273137,0,0,39223963,327764206
15,17800,7673381,3317,121482826,225786385,117413,1838419,1291224,7720004,2743679,3436481,1021948,25691,34697652,26784644,0,0,31863995,272652002
15,17900,8998040,3330,127025806,225882420,115715,1646510,1137217,6412666,2314458,2917781,903674,25952,36188495,32241434,0,864,38695198,325841664
15,18000,7432989,2624,105823188,198964269,222227,1698409,1234864,7606767,2720947,3444354,1136196,29012,39006925,31752515,0,0,32912426,272502627
15,18100,6718736,4811,126033433,179065740,145003,1666107,889239,5637466,1720256,2267328,720127,26276,26229773,21119850,0,0,35593885,320836737
15,18200,8016820,3168,105998894,195636630,114798,1530036,1116329,6786746,2591075,3365461,1047686,24575,38839641,32294006,0,0,39355847,314333055
15,18300,8134072,3330,126570264,235661359,117375,1887347,1286540,7713035,2734966,3352098,993881,25336,33038751,26960038,0,0,32947292,284535878
15,18400,8935375,3231,122955842,221794451,11359,1492363,1079803,6404525,2267979,2905378,935013,25295,37835117,32374128,0,0,38087371,327668572
15,18500,7392126,2790,109856254,206846531,133484,1725230,1296820,7721417,2740850,3445028,1180777,26848,38742807,29841414,0,0,32607296,269487054
15,18600,8969094,3209,127029319,233640512,222256,1792057,1221395,6982484,2274668,2833931,925559,23550,32540668,28742353,0,0,39389067,327387399
15,18700,7685708,2534,105772282,200339414,117078,1560468,1154540,7077636,2687935,3461138,1050697,26641,39086519,32319672,0,0,37374907,298724820
15,18800,8381395,3335,126960594,237698697,222804,1820893,1319686,7711374,2680240,3198739,948216,25804,32176556,27014361,0,0,34698714,299749082
15,18900,8907027,3321,117203282,212599682,116369,1630578,1089290,6436708,2250947,3042399,980449,26618,39101501,32484827,0,0,39314947,327308704
15,19000,7546498,3141,115384976,218361119,120256,1892484,1309811,7716352,2738181,3450247,1053166,26776,35871329,27896416,0,0,31456542,276252819
15,19100,8928288,3501,126854305,236717908,118619,1728557,1144466,6675229,2236341,2797724,894786,24832,34284691,30703588,0,0,39270378,327446316
15,19200,7352985,2718,105798826,194139961,116291,1620379,1188346,7356257,2736192,3455064,1063539,28427,39167200,32495625,0,0,33649285,284532545
15,19300,8907610,3056,126950356,234983260,163456,1829520,1288060,7621512,2538359,3053750,910384,21223,32514935,27131499,0,0,35471357,316070983
15,19400,8535721,3002,111419501,201280426,197067,1530718,1092048,6501704,2411530,3185809,1117900,26825,39165286,32671519,0,0,39460221,326563070
15,19500,7740136,2876,121112805,225905224,220434,1824871,1320235,7752834,2752304,3458255,1033954,22555,35608310,26814554,0,0,32868798,272844146
15,19600,8856965,3317,126858720,231688186,221550,1660958,1132272,6439832,2272520,2860391,907323,25125,36116232,32522182,0,0,39411391,327577055
15,19700,7353348,2678,105751116,201254602,185727,1789443,1248531,7597097,2719541,3445033,1056894,27662,39201277,32303104,0,0,32682099,272541031
15,19800,8905832,3200,127006292,237693966,118678,1911551,1287868,7263917,2396425,2953645,756785,20585,32498984,27295178,0,0,39152237,327303183
